Abbreviation,Reaction,LB (growth with native substrates),UB (growth with native substrates),LB (growth with methane),UB (growth with methane),Notes
THRAr,thr-L[c] <==> acald[c] + gly[c],-1000.0,1000,-1000.0,1000,
THRS,h2o[c] + phom[c] <==> pi[c] + thr-L[c],0.0,1000,0.0,1000,
THRTRS,atp[c] + thr-L[c] + trnathr[c] <==> amp[c] + ppi[c] + thrtrna[c],0.0,1000,0.0,1000,
4ABZt2r,4abz[e] + h[e] <==> 4abz[c] + h[c],0.0,1000,0.0,1000,
ACt3r,ac[e] <==> ac[c],-1000.0,1000,-1000.0,1000,
ACTNt2r,actn-R[c] + (0) h[c] <==> actn-R[e] + (0) h[e],0.0,1000,0.0,1000,
ALACt2r,alac-S[e] + h[e] <==> alac-S[c] + h[c],0.0,1000,0.0,1000,
ALAt4r,ala-L[e] + na1[e] <==> ala-L[c] + na1[c],0.0,1000,0.0,1000,
ATPS1,atp[c] + h[c] + h2o[c] <==> adp[c] + (2) h[e] + pi[c],0.0,1000,0.0,0,
BTNabc,btn[e] + atp[c] + h2o[c] <==> btn[c] + adp[c] + pi[c] + h[c],0.0,1000,0.0,1000,
BTNt2i,btn[e] + h[e] <==> btn[c] + h[c],0.0,1000,0.0,1000,
CA2abc,atp[c] + ca2[e] + h2o[c] <==> adp[c] + ca2[c] + h[c] + pi[c],0.0,1000,0.0,1000,
CAt6,ca2[c] + na1[e] <==> ca2[e] + na1[c],-1000.0,1000,-1000.0,1000,
CBIabc,atp[c] + cbi[e] + h2o[c] <==> adp[c] + cbi[c] + h[c] + pi[c],0.0,1000,0.0,1000,
CBL1abc,atp[c] + cbl1[e] + h2o[c] <==> adp[c] + cbl1[c] + h[c] + pi[c],0.0,1000,0.0,1000,
CBL1HBIabc,atp[c] + cbl1hbi[e] + h2o[c] <==> adp[c] + cbl1hbi[c] + h[c] + pi[c],0.0,1000,0.0,1000,
CD2abc1,atp[c] + cd2[c] + h2o[c] <==> adp[c] + cd2[e] + h[c] + pi[c],0.0,1000,0.0,1000,
CD2t4,cd2[c] + h[e] + k[e] <==> cd2[e] + h[c] + k[c],-1000.0,1000,0.0,0,
CH4St,ch4s[e] <==> ch4s[c],-1000.0,1000,-1000.0,1000,
CH4t,ch4[c] <==> ch4[e],-1000.0,1000,-1000.0,1000,
Clt,cl[e] <==> cl[c],-1000.0,1000,-1000.0,1000,
CO2t,co2[c] <==> co2[e],-1000.0,1000,-1000.0,1000,
Coabc,atp[c] + cobalt2[e] + h2o[c] <==> adp[c] + cobalt2[c] + h[c] + pi[c],0.0,1000,0.0,1000,
COBALTt5,cobalt2[c] <==> cobalt2[e],-1000.0,1000,-1000.0,1000,
COt,co[e] <==> co[c],0.0,1000,0.0,1000,
Cuabc,atp[c] + cu2[e] + h2o[c] <==> adp[c] + cu2[c] + h[c] + pi[c],0.0,1000,0.0,1000,
Cut1,atp[c] + cu2[c] + h2o[c] <==> adp[c] + cu2[e] + h[c] + pi[c],0.0,1000,0.0,1000,
CYSt2r,cys-L[e] + h[e] <==> cys-L[c] + h[c],0.0,1000,0.0,1000,
DMAt,h[e] + dma[e] <==> h[c] + dma[c],0.0,1000,0.0,1000,
DMSt,dms[e] <==> dms[c],0.0,1000,-1000.0,1000,
ETHAt6,etha[e] + h[e] <==> etha[c] + h[c],0.0,1000,0.0,1000,
FE2abc,atp[c] + fe2[e] + h2o[c] <==> adp[c] + fe2[c] + h[c] + pi[c],0.0,1000,0.0,1000,
FE3abc,atp[c] + fe3[e] + h2o[c] <==> adp[c] + fe3[c] + h[c] + pi[c],0.0,1000,0.0,1000,
FEDCabc,atp[c] + (2) cit[e] + fe3[e] + h2o[c] <==> adp[c] + (2) cit[c] + fe3[c] + h[c] + pi[c],0.0,1000,0.0,1000,
FOLt,fol[e] + h[e] <==> fol[c] + h[c],-1000.0,1000,-1000.0,1000,
FORt,for[c] + (0) h[c] <==> for[e] + (0) h[e],-1000.0,1000,-1000.0,1000,
GCALDt,gcald[e] <==> gcald[c],-1000.0,1000,-1000.0,1000,
GLCNt2r,glcn[e] + h[e] <==> glcn[c] + h[c],0.0,1000,0.0,1000,
GLUt2r,glu-L[e] + h[e] <==> glu-L[c] + h[c],0.0,1000,0.0,1000,
GLUt4,glu-L[e] + na1[e] <==> glu-L[c] + na1[c],0.0,1000,0.0,1000,
GLYBabc,atp[c] + glyb[e] + h2o[c] <==> adp[c] + glyb[c] + h[c] + pi[c],0.0,1000,0.0,1000,
GLYt4r,gly[e] + na1[e] <==> gly[c] + na1[c],-1000.0,1000,-1000.0,1000,
H2Ot,h2o[e] <==> h2o[c],-1000.0,1000,-1000.0,1000,
H2St,h2s[e] <==> h2s[c],-1000.0,1000,-1000.0,1000,
H2td,h2[c] <==> h2[e],-1000.0,1000,-1000.0,1000,
HKt,atp[c] + h2o[c] + k[e] <==> adp[c] + h[e] + k[c] + pi[c],0.0,1000,0.0,0,
HPACt2r,4hphac[e] + h[e] <==> 4hphac[c] + h[c],0.0,1000,0.0,1000,
ILEt2r,h[e] + ile-L[e] <==> h[c] + ile-L[c],0.0,1000,0.0,1000,
IND3ACt2r,h[c] + ind3ac[c] <==> h[e] + ind3ac[e],0.0,1000,0.0,1000,
KCCt,cl[c] + k[c] <==> cl[e] + k[e],0.0,1000,0.0,0,
Kt2r,h[e] + k[e] <==> h[c] + k[c],-1000.0,1000,0.0,0,
LEUt2r,h[e] + leu-L[e] <==> h[c] + leu-L[c],0.0,1000,0.0,1000,
LYSt3r,h[e] + lys-L[c] <==> h[c] + lys-L[e],0.0,1000,0.0,1000,
MEOHt2,meoh[e] <==> meoh[c],-1000.0,1000,-1000.0,1000,
MG2abc,atp[c] + h2o[c] + mg2[e] <==> adp[c] + h[c] + mg2[c] + pi[c],0.0,1000,0.0,1000,
MGt5,mg2[c] <==> mg2[e],-1000.0,1000,-1000.0,1000,
MMAt,h[e] + mma[e] <==> h[c] + mma[c],0.0,1000,0.0,1000,
MNabc,atp[c] + h2o[c] + mn2[e] <==> adp[c] + h[c] + mn2[c] + pi[c],0.0,1000,0.0,1000,
MOBDabc,atp[c] + h2o[c] + mobd[e] <==> adp[c] + h[c] + mobd[c] + pi[c],0.0,1000,0.0,1000,
N2tr,n2[e] <==> n2[c],-1000.0,1000,-1000.0,1000,
Naabc,atp[c] + h2o[c] + na1[c] <==> adp[c] + h[c] + pi[c] + na1[e],0.0,1000,0.0,1000,
NACUP,nac[e] <==> nac[c],0.0,1000,0.0,1000,
NaKt_1,atp[c] + h2o[c] + k[e] + na1[c] <==> adp[c] + h[c] + k[c] + na1[e] + pi[c],0.0,1000,0.0,0,
NAt3_1,(1) h[e] + (2) na1[c] <==> (1) h[c] + (2) na1[e],-1000.0,1000,-1000.0,1000,
NCCt,na1[e] + cl[c] <==> na1[c] + cl[e],0.0,1000,0.0,0,
NH4t,nh4[e] <==> nh4[c],-1000.0,1000,-1000.0,1000,
NIabc,atp[c] + h2o[c] + ni2[e] <==> adp[c] + h[c] + ni2[c] + pi[c],0.0,1000,0.0,1000,
PACt2r,h[e] + pac[e] <==> h[c] + pac[c],0.0,1000,0.0,1000,
PIabc,atp[c] + h2o[c] + pi[e] <==> adp[c] + h[c] + (2) pi[c],0.0,1000,0.0,1000,
PIt,pi[e] + h[e] <==> pi[c] + h[c],0.0,1000,0.0,1000,
PNTOt2,h[e] + pnto-R[e] <==> h[c] + pnto-R[c],0.0,1000,0.0,1000,
PPA_1,h2o[c] + ppi[c] <==> h[e] + (2) pi[c],0.0,1000,0.0,1000,
PPA_3,h2o[c] + ppi[c] + na1[c] <==> na1[e] + (2) pi[c] + h[c],0.0,1000,0.0,1000,
PROabc,atp[c] + h2o[c] + pro-L[e] <==> adp[c] + h[c] + pi[c] + pro-L[c],0.0,1000,0.0,1000,
PROt4,na1[e] + pro-L[e] <==> na1[c] + pro-L[c],0.0,1000,0.0,1000,
PYRt2,h[e] + pyr[e] <==> h[c] + pyr[c],-1000.0,1000,-1000.0,1000,
RIBFLVt2,h[e] + ribflv[e] <==> h[c] + ribflv[c],0.0,1000,0.0,1000,
SO4t2,so4[e] + h[e] <==> so4[c] + h[c],0.0,1000,0.0,1000,
SULabc,atp[c] + h2o[c] + so4[e] <==> adp[c] + h[c] + pi[c] + so4[c],0.0,1000,0.0,1000,
THMabc,atp[c] + h2o[c] + thm[e] <==> adp[c] + h[c] + pi[c] + thm[c],0.0,1000,0.0,1000,
TMAt2,h[e] + tma[e] <==> h[c] + tma[c],0.0,1000,0.0,1000,
TRPt2r,trp-L[c] + h[c] <==> trp-L[e] + h[e],0.0,1000,0.0,1000,
UNK_CBL1DEGt,unknown_cbl1deg[e] <==> unknown_cbl1deg[c],-1000.0,1000,-1000.0,1000,
UNK_RBFDEGt,unknown_rbfdeg[e] <==> unknown_rbfdeg[c],-1000.0,1000,-1000.0,1000,
VALt2r,h[e] + val-L[e] <==> h[c] + val-L[c],0.0,1000,0.0,1000,
WO4abc,wo4[e] + atp[c] + h2o[c] <==> adp[c] + h[c] + pi[c] + wo4[c],0.0,1000,0.0,1000,
ZN2t4,zn2[c] + h[e] + k[e] <==> zn2[e] + h[c] + k[c],-1000.0,1000,0.0,0,
ZNabc,atp[c] + h2o[c] + zn2[e] <==> adp[c] + h[c] + pi[c] + zn2[c],0.0,1000,0.0,1000,
Znabc2,atp[c] + zn2[c] + h2o[c] <==> adp[c] + h[c] + pi[c] + zn2[e],0.0,1000,0.0,1000,
ALDD20x,h2o[c] + id3acald[c] + nad[c] <==> (2) h[c] + ind3ac[c] + nadh[c],0.0,1000,0.0,1000,
ANPRT,ppi[c] + pran[c] <==> anth[c] + prpp[c],-1000.0,1000,-1000.0,1000,
ANS,chor[c] + gln-L[c] <==> anth[c] + glu-L[c] + h[c] + pyr[c],0.0,1000,0.0,1000,
ANS2,chor[c] + nh4[c] <==> anth[c] + h[c] + h2o[c] + pyr[c],0.0,1000,0.0,1000,
CHORS,3psme[c] <==> chor[c] + pi[c],0.0,1000,0.0,1000,
CHRPL,chor[c] <==> 4hbz[c] + pyr[c],0.0,1000,0.0,1000,
DHQD,3dhq[c] <==> 3dhsk[c] + h2o[c],0.0,1000,0.0,1000,
DHQS2,dohdu[c] <==> 3dhq[c],0.0,1000,0.0,1000,
DKFPASPL,aspsa[c] + dkfp[c]  + nadh[c] + h[c] <==> dohau[c] + g3p[c] + nad[c],0.0,1000,0.0,1000,
DKFPR,dkfp[c] + h[c] + nadh[c] <==> dkmp[c] + nad[c],-1000.0,1000,-1000.0,1000,
DOHDUS,dohau[c] + h2o[c] + nad[c] <==> dohdu[c] + h[c] + nadh[c] + nh4[c],0.0,1000,0.0,1000,
HPYRRx,h[c] + hpyr[c] + nadh[c] <==> glyc-R[c] + nad[c],0.0,1000,0.0,1000,
HPYRRy,h[c] + hpyr[c] + nadph[c] <==> glyc-R[c] + nadp[c],0.0,1000,0.0,1000,
IGPS,2cpr5p[c] + h[c] <==> 3ig3p[c] + co2[c] + h2o[c],-1000.0,1000,-1000.0,1000,
INDPYRD,h[c] + indpyr[c] <==> co2[c] + id3acald[c],0.0,1000,0.0,1000,
IOR,coa[c] + (2) fdox[c] + indpyr[c] <==> co2[c] + (2) fdred[c] + h[c] + indaccoa[c],-1000.0,1000,-1000.0,1000,
IOR2,coa[c] + (2) fdox[c] + phpyr[c] <==> co2[c] + (2) fdred[c] + h[c] + phaccoa[c],-1000.0,1000,-1000.0,1000,
IOR3,34hpp[c] + coa[c] + (2) fdox[c] <==> co2[c] + (2) fdred[c] + h[c] + hphaccoa[c],-1000.0,1000,-1000.0,1000,
PACCOAL,atp[c] + coa[c] + pac[c] <==> amp[c] + phaccoa[c] + ppi[c],0.0,1000,0.0,1000,
PACCOAL2,4hphac[c] + atp[c] + coa[c] <==> amp[c] + ppi[c] + hphaccoa[c],0.0,1000,0.0,1000,
PACCOAL3,atp[c] + coa[c] + ind3ac[c] <==> amp[c] + indaccoa[c] + ppi[c],0.0,1000,0.0,1000,
PHETA1,akg[c] + phe-L[c] <==> glu-L[c] + phpyr[c],-1000.0,1000,-1000.0,1000,
PHETRS,atp[c] + phe-L[c] + trnaphe[c] <==> amp[c] + ppi[c] + phetrna[c],0.0,1000,0.0,1000,
PPNDH,h[c] + pphn[c] <==> co2[c] + h2o[c] + phpyr[c],0.0,1000,0.0,1000,
PRAIi,pran[c] <==> 2cpr5p[c],-1000.0,1000,-1000.0,1000,
PSCVT,pep[c] + skm5p[c] <==> 3psme[c] + pi[c],-1000.0,1000,-1000.0,1000,
SHK3Dr,nadp[c] + skm[c] <==> 3dhsk[c] + h[c] + nadph[c],-1000.0,1000,-1000.0,1000,
SHKK,atp[c] + skm[c] <==> adp[c] + h[c] + skm5p[c],0.0,1000,0.0,1000,
TRPS1,3ig3p[c] + ser-L[c] <==> g3p[c] + h2o[c] + trp-L[c],0.0,1000,0.0,1000,
TRPS2,indole[c] + ser-L[c] <==> h2o[c] + trp-L[c],0.0,1000,0.0,1000,
TRPS3,3ig3p[c] <==> g3p[c] + indole[c],-1000.0,1000,-1000.0,1000,
TRPTA,akg[c] + trp-L[c] <==> glu-L[c] + indpyr[c],-1000.0,1000,-1000.0,1000,
TRPTRS,atp[c] + trp-L[c] + trnatrp[c] <==> amp[c] + ppi[c] + trptrna[c],0.0,1000,0.0,1000,
TYRTA,akg[c] + tyr-L[c] <==> 34hpp[c] + glu-L[c],-1000.0,1000,-1000.0,1000,
TYRTRS,atp[c] + tyr-L[c] + trnatyr[c] <==> amp[c] + ppi[c] + tyrtrna[c],0.0,1000,0.0,1000,
2H3MOAOX,23dhmb[c] + nadp[c] <==> h[c] + nadph[c] + 2h3moa[c],0.0,1000,0.0,1000,
2MOPRED,2mop[c] + h2o[c] + nad[c] <==> (2) h[c] + mmal[c] + nadh[c],0.0,1000,0.0,1000,
2OBUTHE2THPPTRX,2obut[c] + he2thpp[c] <==> 2ahbut[c] + thmpp[c],0.0,1000,0.0,1000,
ACLS,h[c] + (2) pyr[c] <==> alac-S[c] + co2[c],0.0,1000,0.0,1000,
DHAD1,23dhmb[c] <==> 3mob[c] + h2o[c],0.0,1000,0.0,1000,
DHAD2,23dhmp[c] <==> 3mop[c] + h2o[c],0.0,1000,0.0,1000,
HIBD,3hmp[c] + nad[c] <==> 2mop[c] + h[c] + nadh[c],0.0,1000,0.0,1000,
ILETA,akg[c] + ile-L[c] <==> 3mop[c] + glu-L[c],-1000.0,1000,-1000.0,1000,
ILETRS,atp[c] + ile-L[c] + trnaile[c] <==> amp[c] + ppi[c] + iletrna[c],0.0,1000,0.0,1000,
IPMD,3c2hmp[c] + nad[c] <==> 3c4mop[c] + h[c] + nadh[c],-1000.0,1000,-1000.0,1000,
IPPMIa,3c2hmp[c] <==> 2ippm[c] + h2o[c],-1000.0,1000,-1000.0,1000,
IPPMIb,2ippm[c] + h2o[c] <==> 3c3hmp[c],-1000.0,1000,-1000.0,1000,
IPPS,3mob[c] + accoa[c] + h2o[c] <==> 3c3hmp[c] + coa[c] + h[c],0.0,1000,0.0,1000,
KARA1,23dhmb[c] + nadp[c] <==> alac-S[c] + h[c] + nadph[c],-1000.0,1000,-1000.0,1000,
KARA2,2ahbut[c] + h[c] + nadph[c] <==> 23dhmp[c] + nadp[c],-1000.0,1000,-1000.0,1000,
LEUTA,akg[c] + leu-L[c] <==> 4mop[c] + glu-L[c],-1000.0,1000,-1000.0,1000,
LEUTRS,atp[c] + leu-L[c] + trnaleu[c] <==> amp[c] + ppi[c] + leutrna[c],0.0,1000,0.0,1000,
OMCDC,3c4mop[c] + h[c] <==> 4mop[c] + co2[c],0.0,1000,0.0,1000,
PYRTHMPPTRX,pyr[c] + thmpp[c] + h[c] <==> he2thpp[c] + co2[c],0.0,1000,0.0,1000,
R03896,r2mmal[c] <==> citrac[c] + h2o[c],0.0,1000,0.0,1000,
R2MMALSYN,accoa[c] + h2o[c] + pyr[c] <==> coa[c] + r2mmal[c] + h[c],0.0,1000,0.0,1000,
VALTA,akg[c] + val-L[c] <==> 3mob[c] + glu-L[c],-1000.0,1000,-1000.0,1000,
VALTRS,atp[c] + val-L[c] + trnaval[c] <==> amp[c] + ppi[c] + valtrna[c],0.0,1000,0.0,1000,
2PLS,gtp[c] + lac-L[c] <==> 2plac-L[c] + gdp[c] + h[c],0.0,1000,0.0,1000,
5HBCOX,(2) h[c] + (2) 5hbc_red[c] <==> (2) 5hbc[c] + h2[c],0.0,0,0.0,0,
5HBCR,atp[c] + fdred[c] + h2o[c] + 5hbc[c] <==> adp[c] + fdox[c] + h[c] + pi[c] + 5hbc_red[c],0.0,1000,0.0,1000,
5HBZIDS,ribflv[c] <==> unknown_rbfdeg[c] + 5hbzid[c],0.0,1000,0.0,1000,
ACBIPGT,adocbip[c] + gtp[c] + h[c] <==> agdpcbi[c] + ppi[c],0.0,1000,0.0,1000,
ACP1_FMN_,fmn[c] + h2o[c] <==> pi[c] + ribflv[c],0.0,1000,0.0,1000,
ADCBHBIR,adocblhbi[c] + h2o[c] <==> adn[c] + h[c] + 5hbc_red[c],0.0,1000,0.0,1000,
ADCL2,4das[c] <==> h2o[c] + 4abz[c] + h[c],0.0,1000,0.0,1000,
ADCPS2,adcobhex[c] + applp[c] + atp[c] <==> adocbip[c] + adp[c] + h[c] + pi[c],0.0,1000,0.0,1000,
ADCYRS,adcobdam[c] + (4) atp[c] + (4) gln-L[c] + (4) h2o[c] <==> adcobhex[c] + (4) adp[c] + (4) glu-L[c] + (4) h[c] + (4) pi[c],0.0,1000,0.0,1000,
ADOCBIAH,adocbi[c] + h2o[c] <==> adcobhex[c] + appl[c],0.0,1000,0.0,1000,
ADOCBLS2,agdpcbi[c] + r5hbzi[c] <==> adocblhbi[c] + gmp[c] + h[c],0.0,1000,0.0,1000,
AHGDx,S2hglut[c] + nad[c] <==> akg[c] + h[c] + nadh[c],-1000.0,1000,-1000.0,1000,
AHMMPS,air[c] + nadh[c] + (2) h[c] <==> 4ahmmp[c] + gcald[c] + pi[c] + nad[c],0.0,1000,0.0,1000,
AKP1,ahdt[c] + (3) h2o[c] <==> dhnpt[c] + (2) h[c] + (3) pi[c],0.0,1000,0.0,1000,
ALKP,dhap[c] + h2o[c] <==> dha[c] + pi[c],0.0,1000,0.0,1000,
AMAOTr,amet[c] + 8aonn[c] <==> amob[c] + dann[c],0.0,1000,0.0,1000,
AMPMS2,air[c] + h2o[c] + nad[c] <==> 4ampm[c] + (2) for[c] + (3) h[c] + nadh[c],0.0,1000,0.0,1000,
AOXSr,ala-L[c] + h[c] + pmcoa[c] <==> co2[c] + coa[c] + 8aonn[c],-1000.0,1000,-1000.0,1000,
APPLP,appl[c] + atp[c] <==> adp[c] + applp[c] + h[c],0.0,1000,0.0,1000,
ASPO2x,asp-L[c] + nad[c] <==> h[c] + iasp[c] + nadh[c],0.0,1000,0.0,1000,
BACCL,atp[c] + btn[c] + h[c] <==> btamp[c] + ppi[c],0.0,1000,0.0,1000,
BSPRR,(2) h2s[c] + (2) fe2[c] + (2) fdox[c] + btnp[c] <==> (2) fdred[c] + (4) h[c] + btnp-s2[c],0.0,1000,0.0,1000,
BTS5,dtbt[c] + btnp-s2[c] + (2) fdox[c] <==> btn[c] + (2) fe2[c] + h2s[c] + btnp[c] + (2) fdred[c],0.0,1000,0.0,1000,
CBIAT,atp[c] + cbi[c] + h[c] <==> adocbi[c] + pppi[c],0.0,1000,0.0,1000,
CBLAT2,atp[c] + cbl1hbi[c] + h[c] <==> adocblhbi[c] + pppi[c],0.0,1000,0.0,1000,
CBLD,cbl1[c] <==> cbi[c] + unknown_cbl1deg[c],0.0,1000,0.0,1000,
CF3Ha,f390a[c] + h2o[c] <==> amp[c] + f420-2[c] + (2) h[c],0.0,1000,0.0,1000,
CF3Hg,f390g[c] + h2o[c] <==> f420-2[c] + gmp[c] + h[c],0.0,1000,0.0,1000,
CF3Sa,atp[c] + f420-2[c] + h[c] <==> f390a[c] + ppi[c],0.0,1000,0.0,1000,
CF3Sg,f420-2[c] + gtp[c] <==> f390g[c] + ppi[c],0.0,1000,0.0,1000,
COCHL,atp[c] + cobalt2[c] + h2o[c] + hgbam[c] <==> adp[c] + co2dam[c] + (4) h[c] + pi[c],0.0,1000,0.0,1000,
CPC2MT,amet[c] + copre2[c] <==> ahcys[c] + copre3[c] + h[c],0.0,1000,0.0,1000,
CPC3MT,amet[c] + copre3[c] <==> ahcys[c] + copre4[c],0.0,1000,0.0,1000,
CPC4MT,amet[c] + copre4[c] <==> ahcys[c] + copre5[c] + h[c],0.0,1000,0.0,1000,
CPC5MT,amet[c] + copre5[c] + h2o[c] <==> acald[c] + ahcys[c] + copre6[c] + (2) h[c],0.0,1000,0.0,1000,
CPC6MT,(2) amet[c] + codhpre6[c] <==> (2) ahcys[c] + co2[c] + copre8[c] + (2) h[c],0.0,1000,0.0,1000,
CPC6R,copre6[c] + nadph[c] + (2) h[c] <==> codhpre6[c] + nadp[c],0.0,1000,0.0,1000,
CPC8MM,copre8[c]  + h[c] <==> cobya[c],0.0,1000,0.0,1000,
CYRDAAT,atp[c] + co1dam[c] + h[c] <==> adcobdam[c] + pppi[c],0.0,1000,0.0,1000,
CYRDAR,(2) co2dam[c] + nadh[c] <==> (2) co1dam[c] + h[c] + nad[c],0.0,1000,0.0,1000,
CYRDAS,(2) atp[c] + cobya[c] + (2) gln-L[c] + h2o[c] <==> (2) adp[c] + co2dam[c] + (2) glu-L[c] + h[c] + ppi[c],0.0,1000,0.0,1000,
DB4PS,ru5p-D[c] <==> db4p[c] + for[c] + h[c],0.0,1000,0.0,1000,
DBTSr,atp[c] + co2[c] + dann[c] <==> adp[c] + dtbt[c] + (3) h[c] + pi[c],0.0,1000,0.0,1000,
DHFR,dhf[c] + h[c] + nadph[c] <==> nadp[c] + thf[c],-1000.0,1000,-1000.0,1000,
DHFS,atp[c] + dhpt[c] + glu-L[c] <==> adp[c] + dhf[c] + h[c] + pi[c],0.0,1000,0.0,1000,
DHPS2,4abz[c] + 6hmhptpp[c] + h[c] <==> dhpt[c] + ppi[c],0.0,1000,0.0,1000,
DMHDRFS,34hpp[c] + 4r5au[c] + h2o[c] + (2) nadp[c] <==> ddhrb[c] + (3) h[c] + (2) nadph[c] + nh4[c] + oxa[c],0.0,1000,0.0,1000,
DROPPRx,25dhpp[c] + h[c] + nadh[c] <==> 25dthpp[c] + nad[c],0.0,1000,0.0,1000,
DROPPRy,25dhpp[c] + h[c] + nadph[c] <==> 25dthpp[c] + nadp[c],0.0,1000,0.0,1000,
DRTPPD,25dthpp[c] + h[c] + h2o[c] <==> 5aprbu[c] + nh4[c],0.0,1000,0.0,1000,
F430S1,(2) atp[c] + dscl[c] + (2) gln-L[c] + (2) h2o[c] + ni2[c] <==> (2) adp[c] + f430p1[c] + (2) glu-L[c] + (4) h[c] + (2) pi[c],0.0,1000,0.0,1000,
F430S2,f430p1[c] + h[c] + nadh[c] <==> f430p2[c] + nad[c],0.0,1000,0.0,1000,
F430S3,f430p2[c] + h[c] + nadh[c] <==> f430p3[c] + nad[c],0.0,1000,0.0,1000,
F430S4,f430p3[c] <==> sf430a[c],0.0,1000,0.0,1000,
F430S5,h[c] + sf430a[c] <==> f430[c] + h2o[c],0.0,1000,0.0,1000,
FAPH,fapy[c] + h2o[c] <==> for[c] + 25dhpp[c] + h[c],0.0,1000,0.0,1000,
FMNAT,atp[c] + fmn[c] + h[c] <==> fad[c] + ppi[c],0.0,1000,0.0,1000,
FMNAT_CTP_,ctp[c] + fmn[c] + h[c] <==> fcd[c] + ppi[c],0.0,1000,0.0,1000,
FMNAT_GTP_,gtp[c] + fmn[c] + h[c] <==> fgd[c] + ppi[c],0.0,1000,0.0,1000,
FOLR2,fol[c] + nadph[c] + (2) h[c] <==> dhf[c] + nadp[c],0.0,1000,0.0,1000,
G1SATi,glu1sa[c] <==> 5aop[c] + h[c],0.0,1000,0.0,1000,
GF4GL_0,f420-0[c] + glu-L[c] + gtp[c] <==> f420-1[c] + gdp[c] + h[c] + pi[c],0.0,1000,0.0,1000,
GF4GL_1,f420-1[c] + glu-L[c] + gtp[c] <==> f420-2[c] + gdp[c] + h[c] + pi[c],0.0,1000,0.0,1000,
GF4GL_2,f420-2[c] + glu-L[c] + gtp[c] <==> f420-3[c] + gdp[c] + h[c] + pi[c],0.0,1000,0.0,1000,
GF4GL_3,f420-3[c] + glu-L[c] + gtp[c] <==> f420-4[c] + gdp[c] + h[c] + pi[c],0.0,1000,0.0,1000,
GF4GL_4,f420-4[c] + glu-L[c] + gtp[c] <==> f420-5[c] + gdp[c] + h[c] + pi[c],0.0,1000,0.0,1000,
GF4GL_5,f420-5[c] + glu-L[c] + gtp[c] <==> f420-6[c] + gdp[c] + h[c] + pi[c],0.0,1000,0.0,1000,
GF4GL_6,f420-6[c] + glu-L[c] + gtp[c] <==> f420-7[c] + gdp[c] + h[c] + pi[c],0.0,1000,0.0,1000,
GLUTRR,glutrna[c] + (2) h[c] + nadph[c] <==> glu1sa[c] + nadp[c] + trnaglu[c],0.0,1000,0.0,1000,
HETZK,4mhetz[c] + atp[c] <==> 4mpetz[c] + adp[c] + h[c],0.0,1000,0.0,1000,
HMBS,h2o[c] + (4) ppbng[c] <==> hmbil[c] + (4) nh4[c],0.0,1000,0.0,1000,
HMPK1,4ahmmp[c] + atp[c] <==> 4ampm[c] + adp[c] + (2) h[c],0.0,1000,0.0,1000,
IPDDI3x,f420-2[c] + (2) h[c] + ipdp[c] + nadh[c] <==> dmpp[c] + f420-2h2[c] + nad[c],0.0,1000,0.0,1000,
IPDDI3y,f420-2[c] + (2) h[c] + ipdp[c] + nadph[c] <==> dmpp[c] + f420-2h2[c] + nadp[c],0.0,1000,0.0,1000,
LCAD,h2o[c] + lald-L[c] + nad[c] <==> (2) h[c] + lac-L[c] + nadh[c],0.0,1000,0.0,1000,
LPFPLT,ddhrb[c] + lppg[c] <==> f420-0[c] + gmp[c] + h[c],0.0,1000,0.0,1000,
LPPGS,2plac-L[c] + gtp[c] + h[c] <==> lppg[c] + ppi[c],0.0,1000,0.0,1000,
MDHy,mal-L[c] + nadp[c] <==> h[c] + nadph[c] + oaa[c],-1000.0,1000,-1000.0,1000,
MTHFC,h2o[c] + methf[c] <==> 10fthf[c],-1000.0,1000,-1000.0,1000,
MTHFD2i,mlthf[c] + nad[c] <==> methf[c] + nadh[c] + h[c],0.0,1000,0.0,1000,
MTHFR2,h[c] + mlthf[c] + nadh[c] <==> 5mthf[c] + nad[c],0.0,1000,0.0,1000,
MTHFR3,h[c] + mlthf[c] + nadph[c] <==> 5mthf[c] + nadp[c],0.0,1000,0.0,1000,
NADDP,h2o[c] + nad[c] <==> amp[c] + (2) h[c] + nmn[c],0.0,1000,0.0,1000,
NADK,atp[c] + nad[c] <==> adp[c] + h[c] + nadp[c],0.0,1000,0.0,1000,
NAPRTr,nicrnt[c] + ppi[c] <==> h[c] + nac[c] + prpp[c],-1000.0,1000,-1000.0,1000,
NMNAT,atp[c] + h[c] + nmn[c] <==> nad[c] + ppi[c],-1000.0,1000,-1000.0,1000,
NN5HBPRT,nicrnt[c] + 5hbzid[c] <==> h[c] + nac[c] + 5pr5hbz[c],0.0,1000,0.0,1000,
NNAT,atp[c] + h[c] + nicrnt[c] <==> dnad[c] + ppi[c],0.0,1000,0.0,1000,
NNDPR,(2) h[c] + prpp[c] + quln[c] <==> co2[c] + nicrnt[c] + ppi[c],0.0,1000,0.0,1000,
NT5C,h2o[c] + nicrnt[c] <==> nicrns[c] + pi[c],0.0,1000,0.0,1000,
PHEMES,ddcdscl[c] + fe2[c] + (3) nad[c] <==> (2) ac[c] + (2) co2[c] + (3) nadh[c] + (4) h[c] + pheme[c],0.0,1000,0.0,1000,
